channel,region,customer_segment,campaign_type,ad_spend,impressions,clicks,click_through_rate,average_order_value,discount_percent,prior_purchases,website_visits_30d,email_open_rate,days_since_last_purchase,conversion
Instagram,Central,New,Retargeting,393.93,8153,1312,0.1609,83.39,25,2,4,0.1297,79,0
Google Ads,Central,High Value,Seasonal,376.66,11594,2979,0.257,75.8,0,1,4,0.4367,31,0
Instagram,North,Returning,Awareness,329.33,14766,1330,0.0901,84.0,15,2,8,0.3481,38,1
Organic,West,High Value,Conversion,258.01,17648,2396,0.1358,55.79,25,2,4,0.2063,52,1
Google Ads,Central,Returning,Retargeting,168.95,13387,509,0.038,40.75,5,1,7,0.1894,4,1
Organic,West,Dormant,Retargeting,269.33,9994,349,0.035,100.2,10,2,9,0.2535,74,0
Organic,South,Returning,Conversion,377.41,2630,393,0.1495,27.47,5,1,4,0.3341,12,0
Google Ads,West,Returning,Retargeting,373.57,12318,747,0.0607,29.47,15,0,8,0.4106,56,0
Organic,North,High Value,Retargeting,588.88,12116,2092,0.1727,69.3,10,1,7,0.3863,64,0
Google Ads,East,Returning,Seasonal,551.44,12823,133,0.0103,90.5,0,2,3,0.1577,108,0
Organic,West,New,Awareness,335.23,21478,4285,0.1995,61.79,25,3,4,0.4968,6,1
Instagram,East,Returning,Seasonal,268.03,17583,543,0.0309,77.99,5,0,4,0.2031,7,0
Google Ads,West,New,Awareness,228.74,15533,2946,0.1897,18.08,15,0,3,0.3914,70,0
Google Ads,South,High Value,Retargeting,156.15,7671,441,0.0575,48.01,15,1,3,0.2106,37,0
Email,West,New,Awareness,191.55,9692,1295,0.1336,20.52,0,0,3,0.3519,6,0
Instagram,West,New,Awareness,679.21,11573,1104,0.0954,73.61,0,1,4,0.5046,19,0
Organic,West,New,Awareness,377.66,8511,650,0.0764,27.06,30,3,4,0.3258,131,0
Google Ads,South,High Value,Conversion,437.44,14252,994,0.0697,32.44,15,2,5,0.546,34,1
Email,South,New,Conversion,292.96,13606,1688,0.1241,68.28,0,2,4,0.0908,106,1
Instagram,South,High Value,Awareness,853.8,7103,1632,0.2298,79.24,20,1,7,0.4248,60,0
Instagram,East,Dormant,Conversion,192.45,17386,2816,0.162,54.82,10,0,7,0.5101,77,1
Email,East,New,Conversion,148.59,12460,816,0.0655,69.4,0,2,2,0.1476,14,0
SMS,South,High Value,Retargeting,846.97,4219,472,0.112,68.76,15,2,5,0.0822,35,0
Google Ads,East,New,Seasonal,164.92,11769,505,0.0429,53.69,10,4,4,0.1989,36,0
Instagram,South,New,Retargeting,291.13,13265,716,0.054,36.11,5,1,9,0.277,64,1
Google Ads,South,High Value,Awareness,237.75,16378,1203,0.0734,69.3,25,0,6,0.3788,34,1
Email,West,Dormant,Conversion,390.14,10481,701,0.0669,70.26,5,1,5,0.0791,55,0
Instagram,Central,New,Seasonal,281.16,15726,1117,0.071,75.88,5,2,4,0.1117,98,0
Referral,South,Returning,Awareness,438.05,12842,1399,0.1089,64.24,5,3,5,0.5788,20,0
Google Ads,Central,New,Conversion,480.26,6082,728,0.1197,34.63,20,1,3,0.3732,20,0
SMS,East,Returning,Seasonal,155.39,5632,618,0.1097,71.81,20,1,5,0.2758,17,0
Google Ads,North,Returning,Seasonal,225.22,17052,3330,0.1953,57.97,25,2,6,0.199,16,1
Google Ads,South,Returning,Conversion,454.7,17382,4548,0.2617,48.35,5,2,3,0.1633,20,0
Organic,North,Returning,Retargeting,522.67,13453,2683,0.1994,52.11,20,3,6,0.2475,8,1
Organic,North,New,Conversion,359.24,18731,2289,0.1222,44.19,15,0,4,0.2995,13,0
Referral,South,High Value,Retargeting,402.97,16755,1382,0.0825,75.78,5,0,9,0.0352,7,1
SMS,East,High Value,Awareness,605.57,15076,3467,0.2299,29.64,0,1,6,0.204,54,1
Organic,West,High Value,Awareness,282.77,7899,877,0.1111,38.13,20,3,5,0.3118,102,0
Organic,North,New,Retargeting,357.49,19791,2732,0.138,51.42,5,1,5,0.2932,39,0
Email,Central,Returning,Awareness,551.71,14413,2880,0.1998,90.28,15,1,6,0.3115,108,0
Referral,South,Returning,Retargeting,567.05,10264,680,0.0663,79.09,15,1,6,0.4129,34,1
Google Ads,North,New,Conversion,318.35,8993,232,0.0259,25.18,0,2,1,0.2461,2,0
Google Ads,West,New,Seasonal,228.6,13156,1547,0.1176,85.03,30,0,4,0.0701,17,1
Referral,West,Returning,Retargeting,316.76,4480,590,0.1316,84.99,20,2,4,0.3805,24,0
SMS,West,High Value,Conversion,330.61,15149,1432,0.0946,34.52,10,0,3,0.1304,26,1
SMS,North,New,Retargeting,224.71,7709,1826,0.2369,10.0,15,0,4,0.325,60,1
Instagram,North,High Value,Conversion,240.49,13668,1177,0.0861,56.56,10,1,8,0.1299,30,0
Referral,South,Returning,Conversion,567.4,9653,2022,0.2095,80.45,20,2,3,0.2744,52,1
Organic,East,High Value,Awareness,411.25,10810,1035,0.0958,89.83,0,1,8,0.2294,23,0
Instagram,Central,Returning,Seasonal,291.78,8594,283,0.0329,40.58,10,1,3,0.4446,20,0
Email,South,Returning,Retargeting,198.15,11274,302,0.0268,93.04,10,2,5,0.2049,110,0
Email,North,Returning,Seasonal,241.84,20502,3881,0.1893,13.44,10,2,3,0.3179,135,1
Organic,Central,Dormant,Seasonal,142.67,18233,1882,0.1032,50.64,10,0,7,0.5831,31,0
Google Ads,North,Returning,Seasonal,363.44,13595,1038,0.0764,49.66,0,2,4,0.3748,78,0
SMS,North,Returning,Awareness,235.67,11886,1413,0.1189,81.05,30,2,8,0.1537,45,0
Google Ads,East,Returning,Seasonal,376.27,15799,1169,0.074,83.97,0,0,6,0.123,61,0
SMS,East,High Value,Conversion,452.65,17085,2396,0.1402,77.08,0,2,6,0.216,1,0
Google Ads,West,New,Conversion,378.72,8266,982,0.1188,30.99,10,4,7,0.4707,7,0
Organic,Central,Returning,Conversion,275.53,11652,796,0.0684,75.25,15,2,4,0.1172,4,0
Email,Central,Returning,Conversion,219.32,3801,514,0.1353,68.18,0,0,9,0.1806,8,0
Google Ads,South,Dormant,Conversion,184.48,17054,3178,0.1864,24.58,15,1,6,0.3665,28,1
Organic,Central,Returning,Awareness,543.09,21293,3091,0.1452,16.66,20,2,5,0.1618,68,0
SMS,West,Returning,Awareness,371.43,12360,296,0.024,78.76,0,2,4,0.2391,2,0
Organic,North,Dormant,Conversion,282.69,2437,251,0.1032,54.4,30,0,6,0.1402,11,0
Email,Central,Returning,Seasonal,426.4,14740,1000,0.0678,32.3,10,1,6,0.534,16,1
Instagram,North,New,Retargeting,504.77,7932,1523,0.1921,53.84,15,1,4,0.4776,56,1
Email,East,New,Conversion,237.95,9015,1814,0.2012,65.28,0,3,2,0.2975,3,0
Email,West,New,Conversion,366.47,14820,3260,0.2199,56.34,20,2,7,0.135,1,0
Referral,South,New,Conversion,369.77,13145,1088,0.0828,26.96,25,3,3,0.4639,30,1
Referral,South,Returning,Awareness,594.08,9804,703,0.0717,95.71,0,2,2,0.0514,62,0
Organic,East,High Value,Retargeting,280.9,9077,1794,0.1976,78.08,0,1,6,0.1087,13,1
Organic,Central,High Value,Awareness,215.62,12566,288,0.0229,51.29,5,0,3,0.2337,32,1
Referral,South,New,Retargeting,384.45,10157,597,0.0588,52.1,0,2,4,0.1432,20,1
Organic,West,Returning,Retargeting,441.95,7008,861,0.1228,65.19,30,1,6,0.3994,67,1
Email,East,New,Conversion,353.21,10503,1706,0.1624,35.41,15,5,7,0.0639,31,1
Instagram,North,Dormant,Seasonal,612.04,13528,1185,0.0876,64.45,15,1,3,0.1152,139,0
Google Ads,West,New,Conversion,280.49,11199,1045,0.0933,31.39,30,1,7,0.2866,72,0
Organic,Central,Returning,Seasonal,357.11,5639,214,0.038,56.59,20,1,3,0.1677,88,0
Email,East,New,Retargeting,161.47,16451,1224,0.0744,34.63,20,1,2,0.0628,6,0
Google Ads,North,Returning,Retargeting,210.01,800,189,0.2368,35.64,10,4,4,0.3083,24,1
Referral,North,Returning,Retargeting,238.66,9991,1695,0.1696,90.91,10,2,6,0.1355,46,0
Email,East,High Value,Retargeting,301.78,9209,1567,0.1702,59.18,5,1,5,0.4098,145,0
Google Ads,East,New,Seasonal,174.3,12667,526,0.0415,62.15,10,1,6,0.3692,2,1
Organic,East,Dormant,Conversion,423.76,14527,821,0.0565,17.77,10,0,5,0.198,20,0
Referral,South,Returning,Retargeting,228.89,17070,1059,0.062,46.06,0,2,15,0.2296,29,1
Instagram,East,High Value,Retargeting,784.74,8794,1085,0.1234,67.22,10,0,4,0.2316,12,1
Organic,South,High Value,Conversion,232.66,14640,1048,0.0716,61.88,10,0,4,0.3351,13,1
Instagram,West,Dormant,Seasonal,340.8,12881,458,0.0356,14.92,5,3,8,0.3566,15,0
Organic,West,New,Conversion,321.95,4298,433,0.1007,62.14,0,3,9,0.2936,92,1
Instagram,West,New,Conversion,201.65,20552,3487,0.1697,65.33,10,2,6,0.2144,9,0
Google Ads,North,New,Awareness,302.31,5526,226,0.041,83.68,10,0,1,0.436,5,1
Instagram,Central,New,Awareness,300.62,13888,1790,0.1289,44.9,20,0,5,0.4185,1,0
Instagram,North,Returning,Retargeting,480.46,13755,1422,0.1034,13.16,20,2,2,0.3471,121,0
Organic,Central,Dormant,Conversion,390.81,13240,2876,0.2172,38.06,5,0,7,0.0465,10,1
Instagram,North,Dormant,Conversion,421.04,9774,367,0.0375,36.06,0,3,5,0.2767,31,0
Email,East,Returning,Awareness,475.86,15723,1390,0.0884,72.73,5,4,4,0.1859,62,0
Instagram,North,Returning,Conversion,424.03,4978,1224,0.2458,10.0,0,2,6,0.2368,40,1
Referral,North,Dormant,Retargeting,365.12,11704,1248,0.1066,49.03,10,2,8,0.117,17,0
Organic,West,Dormant,Seasonal,237.65,9463,892,0.0943,86.52,30,2,7,0.428,1,1
SMS,West,New,Awareness,354.88,8952,525,0.0587,58.14,5,1,6,0.0825,14,0
Instagram,North,Returning,Conversion,217.22,13929,3070,0.2204,75.93,10,1,3,0.1929,128,0
Google Ads,Central,High Value,Conversion,312.66,16849,2456,0.1458,25.16,20,2,6,0.1274,2,0
Email,South,New,Retargeting,294.57,10455,1544,0.1477,25.96,10,2,5,0.1124,45,0
Google Ads,South,Returning,Conversion,303.02,15513,2812,0.1812,86.74,0,1,2,0.4249,30,1
SMS,South,Dormant,Conversion,175.15,12224,2057,0.1683,60.02,0,1,3,0.3308,2,0
Referral,East,Dormant,Conversion,69.48,7983,1759,0.2204,60.07,25,0,7,0.4298,31,1
Google Ads,North,Dormant,Conversion,270.42,10839,1001,0.0923,35.64,0,0,3,0.1237,27,0
Instagram,East,High Value,Conversion,524.43,10652,2612,0.2452,60.02,15,1,6,0.2636,9,0
Organic,South,New,Conversion,338.58,8865,246,0.0277,35.08,20,2,5,0.4068,7,1
Google Ads,North,New,Retargeting,507.71,13928,1995,0.1432,81.74,5,0,5,0.0908,1,1
Email,South,Returning,Retargeting,217.9,13056,571,0.0438,112.56,20,1,5,0.114,127,0
Instagram,West,Returning,Conversion,264.37,4842,524,0.1083,67.68,0,1,5,0.2336,19,1
Email,West,Returning,Retargeting,806.01,4568,1211,0.2652,45.3,5,0,3,0.2265,105,1
Instagram,South,Returning,Seasonal,224.06,13911,761,0.0547,10.0,10,0,8,0.0243,40,1
Email,South,Returning,Awareness,417.44,8331,1759,0.2112,24.31,30,0,3,0.0462,60,0
Google Ads,West,High Value,Conversion,417.16,13359,1002,0.075,89.1,5,1,7,0.4868,87,0
Google Ads,West,New,Conversion,397.18,15514,830,0.0535,37.42,0,1,8,0.0523,6,1
Instagram,Central,New,Retargeting,419.76,6281,595,0.0948,50.58,25,2,4,0.1233,24,0
Google Ads,Central,New,Awareness,222.56,5648,743,0.1315,71.11,0,1,7,0.2841,13,0
SMS,Central,New,Retargeting,276.32,19535,2468,0.1263,87.65,25,1,3,0.1787,40,0
Organic,Central,Dormant,Conversion,80.44,13582,3850,0.2835,54.01,15,1,5,0.1347,1,0
Google Ads,East,Returning,Conversion,602.91,10113,262,0.0259,49.91,15,3,3,0.09,30,0
Instagram,South,New,Seasonal,418.66,7797,605,0.0776,59.43,20,2,5,0.2886,19,0
Organic,South,High Value,Conversion,238.79,9703,450,0.0463,45.45,20,1,8,0.5795,12,1
Instagram,South,Returning,Seasonal,219.01,6642,1501,0.226,46.52,0,1,3,0.0145,29,0
Instagram,West,New,Seasonal,528.43,15975,893,0.0559,66.24,30,2,6,0.2096,30,1
Organic,West,New,Seasonal,231.07,8505,470,0.0552,61.71,30,3,4,0.5572,22,1
Google Ads,Central,New,Awareness,238.44,16921,1993,0.1178,100.63,25,0,5,0.3743,33,1
Organic,North,High Value,Retargeting,197.58,10197,675,0.0661,66.78,15,5,4,0.2172,6,0
Google Ads,East,New,Awareness,453.12,7305,1717,0.2351,81.02,15,2,7,0.15,65,0
Referral,South,New,Conversion,504.45,10082,320,0.0318,36.57,15,0,10,0.2891,70,1
Instagram,Central,New,Seasonal,295.38,800,29,0.0367,68.5,0,2,5,0.0664,99,0
Instagram,South,Returning,Retargeting,505.89,11457,305,0.0266,43.54,10,3,4,0.3579,41,0
Instagram,North,New,Conversion,382.46,11234,575,0.0512,65.91,15,1,6,0.4512,14,0
Email,East,High Value,Conversion,191.93,15711,2125,0.1353,71.77,15,0,5,0.534,129,1
Organic,Central,New,Retargeting,583.58,3512,525,0.1494,59.0,10,0,1,0.1529,32,0
Instagram,Central,Returning,Retargeting,196.59,17228,1299,0.0754,106.15,10,0,4,0.4955,26,1
Google Ads,North,Returning,Conversion,305.07,15693,3334,0.2124,86.56,15,0,2,0.5244,10,0
Organic,South,Returning,Seasonal,295.77,17634,352,0.02,81.54,10,2,7,0.341,38,0
Organic,North,New,Awareness,272.42,11763,1396,0.1187,73.29,30,4,4,0.1898,129,0
Google Ads,South,High Value,Awareness,119.87,16563,826,0.0499,93.27,20,4,5,0.2824,31,0
Google Ads,East,Dormant,Retargeting,730.59,5379,547,0.1017,29.26,0,2,6,0.1245,110,0
SMS,South,New,Seasonal,128.41,15209,1688,0.111,85.41,0,0,5,0.2584,81,0
Referral,North,New,Awareness,599.67,8530,854,0.1001,38.18,20,0,6,0.1015,151,0
Organic,East,Dormant,Awareness,215.53,4569,564,0.1235,46.71,10,0,4,0.2643,76,0
Organic,North,Returning,Awareness,249.13,6941,335,0.0482,69.23,20,1,8,0.1625,18,1
Organic,South,New,Seasonal,573.69,12025,1189,0.0989,82.66,0,1,4,0.1913,82,0
Instagram,North,New,Awareness,400.59,8291,460,0.0555,34.93,0,1,8,0.2383,10,0
Google Ads,North,High Value,Conversion,164.2,13692,558,0.0407,47.75,10,2,6,0.2479,3,0
Email,East,High Value,Seasonal,162.53,3863,449,0.1162,59.95,20,4,2,0.2561,35,0
Referral,Central,Returning,Awareness,374.85,2428,218,0.0898,54.27,30,1,7,0.2061,59,0
SMS,West,Dormant,Conversion,194.97,18176,371,0.0204,75.08,25,1,6,0.0475,114,0
Google Ads,North,Returning,Conversion,408.9,16067,517,0.0322,126.72,10,0,3,0.2492,2,0
Google Ads,North,New,Retargeting,427.33,7278,198,0.0272,66.39,20,0,5,0.107,24,0
Email,South,Returning,Conversion,226.32,11987,2534,0.2114,43.3,0,2,7,0.3009,45,0
SMS,West,Returning,Conversion,255.34,16588,508,0.0306,32.07,15,1,5,0.2228,15,1
Email,West,New,Awareness,380.26,13886,1600,0.1152,51.49,25,1,6,0.434,65,1
Email,Central,New,Retargeting,221.68,12667,1237,0.0976,39.2,10,0,10,0.2811,7,0
Instagram,South,Returning,Retargeting,338.79,16928,2643,0.1561,67.35,30,3,4,0.4446,97,0
Email,North,High Value,Awareness,828.1,8712,181,0.0208,67.04,5,2,5,0.2427,74,1
Google Ads,North,New,Conversion,388.3,12140,2008,0.1654,48.74,0,1,4,0.1081,19,1
Google Ads,North,Returning,Seasonal,274.17,11920,1765,0.148,97.7,15,1,6,0.3245,30,0
Instagram,North,Returning,Awareness,764.0,10773,1536,0.1426,43.29,25,1,4,0.4749,7,1
Email,Central,Returning,Conversion,467.39,10246,1340,0.1308,55.61,10,2,8,0.4919,110,1
Email,South,High Value,Conversion,197.22,12328,1820,0.1477,70.78,20,0,3,0.4465,29,1
Instagram,Central,High Value,Conversion,215.04,12155,491,0.0404,75.84,0,1,1,0.4623,21,0
Email,East,High Value,Conversion,136.19,7282,562,0.0772,83.55,20,2,5,0.0991,88,0
Referral,East,New,Conversion,377.2,15608,2752,0.1763,66.57,15,1,6,0.0234,24,1
Instagram,East,Returning,Awareness,108.75,7606,996,0.131,79.02,0,1,6,0.5057,4,0
Instagram,Central,Returning,Conversion,763.57,11018,1437,0.1304,44.7,20,3,6,0.1061,43,0
Instagram,North,New,Retargeting,289.28,10671,625,0.0585,76.36,20,4,2,0.4018,13,1
Google Ads,North,New,Conversion,480.13,13611,1093,0.0803,76.09,15,5,5,0.106,42,0
Email,East,New,Awareness,277.42,2464,80,0.0326,88.26,5,4,3,0.1034,31,0
Email,South,Returning,Retargeting,374.27,16009,1875,0.1171,24.63,0,1,6,0.118,4,1
Organic,East,Returning,Awareness,306.95,8954,400,0.0447,39.86,30,4,2,0.0818,95,1
Email,West,New,Retargeting,334.44,17490,1134,0.0649,74.46,15,0,5,0.4426,39,0
Google Ads,East,High Value,Conversion,545.83,9848,157,0.0159,10.0,20,5,8,0.3718,63,0
Google Ads,South,Dormant,Retargeting,661.68,11780,512,0.0435,67.84,20,2,5,0.3309,202,0
Instagram,South,New,Awareness,638.68,20612,1165,0.0565,79.2,20,0,2,0.0978,35,0
Google Ads,West,Dormant,Awareness,1112.96,10752,357,0.0332,46.47,0,0,4,0.1975,6,0
Organic,South,New,Conversion,233.12,17575,3358,0.1911,49.4,10,0,5,0.2408,102,0
Organic,East,Dormant,Awareness,390.49,12176,232,0.0191,36.52,15,1,9,0.1025,107,0
Instagram,East,Dormant,Awareness,235.66,13869,835,0.0602,47.57,0,1,4,0.2501,12,0
Instagram,West,New,Retargeting,535.87,12315,482,0.0392,48.15,0,2,1,0.231,22,0
Instagram,West,High Value,Retargeting,201.83,15815,1682,0.1063,44.34,15,0,1,0.1784,15,0
Google Ads,East,Dormant,Awareness,550.05,8915,1283,0.144,43.25,25,4,6,0.2201,12,1
Referral,South,Dormant,Seasonal,358.55,7572,703,0.0928,52.58,15,1,6,0.053,93,0
Instagram,South,Dormant,Retargeting,314.9,9126,1324,0.1451,52.34,0,1,6,0.3362,9,0
Instagram,East,Returning,Seasonal,331.4,12449,2701,0.217,95.48,30,1,5,0.4078,35,1
SMS,South,New,Retargeting,184.76,11006,193,0.0175,50.12,0,1,6,0.2221,15,0
Email,West,High Value,Retargeting,192.37,15196,1250,0.0823,64.88,5,1,6,0.116,30,0
Google Ads,South,Returning,Conversion,361.42,17871,4958,0.2774,46.46,30,1,7,0.3493,143,0
Referral,West,Returning,Retargeting,360.32,7609,273,0.0359,46.21,20,1,7,0.0393,43,1
Email,West,Returning,Seasonal,240.69,8697,596,0.0685,23.91,25,2,5,0.2215,26,1
Email,Central,Returning,Awareness,287.83,5537,334,0.0603,26.57,20,0,4,0.0945,16,0
Email,North,New,Conversion,405.18,21137,2147,0.1016,33.86,15,0,4,0.0705,52,0
Organic,West,High Value,Awareness,221.11,13371,817,0.0611,61.67,5,1,5,0.2176,55,0
Email,North,New,Seasonal,128.08,14159,1781,0.1258,79.52,10,2,3,0.4494,62,0
Instagram,South,High Value,Conversion,612.6,5969,643,0.1077,22.27,30,1,5,0.2332,18,1
Email,North,High Value,Retargeting,372.81,11995,1597,0.1331,47.02,25,0,7,0.1692,13,1
Email,North,Returning,Retargeting,261.04,14292,1551,0.1086,30.66,10,1,13,0.085,15,1
Google Ads,North,Returning,Seasonal,235.32,10863,2608,0.2401,52.71,10,0,5,0.4714,41,0
Instagram,North,New,Awareness,220.09,16841,794,0.0471,79.52,5,3,6,0.0552,54,0
Google Ads,Central,Dormant,Retargeting,534.92,22403,4023,0.1796,49.06,10,2,5,0.4857,51,0
Google Ads,North,High Value,Seasonal,169.67,7738,255,0.033,57.05,25,1,5,0.1577,34,0
Organic,South,Returning,Awareness,390.04,7401,313,0.0423,87.1,0,2,9,0.3095,153,0
Email,West,New,Retargeting,389.9,8050,1159,0.144,67.16,10,1,2,0.1868,20,1
Organic,Central,New,Conversion,456.76,19228,1011,0.0526,42.8,30,0,4,0.2529,117,0
Google Ads,Central,Returning,Retargeting,272.74,16691,1934,0.1159,61.18,15,1,7,0.3369,26,0
Email,North,Dormant,Conversion,589.29,11390,736,0.0646,41.45,10,1,6,0.282,32,0
Organic,Central,High Value,Conversion,462.78,12165,409,0.0336,66.41,10,4,4,0.2441,295,0
Organic,West,New,Awareness,268.46,8326,837,0.1006,68.31,0,1,11,0.0802,45,0
Instagram,North,Dormant,Awareness,230.14,16005,554,0.0346,30.66,5,1,4,0.5417,101,0
Organic,East,Returning,Awareness,307.34,10290,676,0.0657,61.5,0,3,2,0.2966,73,0
Google Ads,Central,Dormant,Retargeting,264.3,10830,797,0.0736,55.65,0,1,7,0.546,36,0
Google Ads,South,New,Conversion,212.47,14740,2249,0.1526,68.89,0,1,6,0.0756,27,0
SMS,North,Returning,Awareness,338.11,11154,1026,0.092,74.63,5,3,4,0.1112,53,1
Instagram,Central,Dormant,Retargeting,288.71,10943,2311,0.2112,67.55,0,1,4,0.0695,51,1
Organic,Central,New,Retargeting,651.68,12048,908,0.0754,51.94,30,0,5,0.3257,88,1
Instagram,Central,High Value,Conversion,264.1,15579,3415,0.2192,76.67,0,2,4,0.5588,61,1
Organic,Central,Dormant,Seasonal,229.16,19409,2611,0.1345,40.54,10,2,4,0.3616,29,1
Google Ads,Central,New,Conversion,328.22,14635,920,0.0629,31.59,25,2,7,0.3871,61,0
Instagram,East,New,Retargeting,367.52,15615,789,0.0505,10.0,0,0,3,0.1378,24,1
Google Ads,North,High Value,Awareness,380.2,11101,1021,0.0919,56.6,10,2,3,0.311,7,1
Instagram,West,New,Retargeting,378.53,8815,1233,0.1399,41.57,25,0,5,0.2018,49,0
Email,South,New,Seasonal,333.28,14943,777,0.052,65.96,15,2,3,0.2576,8,0
Email,East,Returning,Retargeting,322.35,12771,2317,0.1814,18.58,5,2,6,0.1408,4,1
Instagram,West,High Value,Conversion,428.42,5598,182,0.0325,45.06,20,0,6,0.1189,41,1
Email,Central,New,Retargeting,203.29,10524,280,0.0266,67.41,15,0,7,0.1809,49,0
Email,South,New,Conversion,229.93,11627,642,0.0552,37.4,10,2,1,0.2889,9,1
Referral,South,High Value,Retargeting,148.68,9703,2080,0.2143,66.19,0,2,5,0.4919,49,1
Referral,West,Returning,Retargeting,204.89,18668,1248,0.0669,46.86,0,1,4,0.0377,52,1
